Date,Close,Adjusted_close,Volume,Trading_Value,Volume_2,Trading_Value_2,Open,High,Low
2025-03-27,1323.81,1323.81,564278774.0,12739.63,108046275.0,3343.52,1325.98,1328.82,1323.01
2025-03-28,1317.46,1317.46,635792433.0,14323.71,100566203.0,2696.92,1324.42,1325.34,1315.72
2025-03-31,1306.86,1306.86,753141476.0,17545.02,112783358.0,3614.64,1313.51,1314.09,1304.1
2025-04-01,1317.33,1317.33,550211861.0,13586.73,59888326.0,1289.02,1313.03,1317.46,1308.06
2025-04-02,1317.83,1317.83,709130132.0,15718.29,140080202.0,3577.05,1321.53,1324.46,1317.68
2025-04-03,1229.84,1229.84,1716843434.0,38322.29,44250266.0,1140.04,1272.87,1277.9,1229.41
2025-04-04,1210.67,1210.67,1873633940.0,39539.37,110263100.0,2644.1,1159.33,1210.67,1158.17
2025-04-08,1132.79,1132.79,1055789483.0,22841.3,89371865.0,1939.5,1173.14,1174.4,1130.98
2025-04-09,1094.3,1094.3,1518648938.0,30328.51,80600438.0,1999.77,1073.61,1141.35,1073.61
2025-04-10,1168.34,1168.34,280341215.0,4659.43,87343843.0,1592.85,1166.09,1168.4,1165.86
2025-04-11,1222.46,1222.46,1697947853.0,37326.75,32495053.0,714.31,1198.25,1222.46,1180.59
2025-04-14,1241.44,1241.44,983147350.0,22327.25,57599360.0,1893.4,1235.01,1242.94,1226.06
2025-04-15,1227.79,1227.79,1004299988.0,22761.75,64445704.0,1429.45,1233.2,1246.21,1221.75
2025-04-16,1210.3,1210.3,762327891.0,18026.41,55759833.0,1423.0,1225.29,1233.84,1205.93
2025-04-17,1217.25,1217.25,697087594.0,15720.89,84448827.0,4188.82,1201.63,1217.25,1197.5
2025-04-18,1219.12,1219.12,1039406282.0,20874.75,26994999.0,669.27,1228.37,1234.67,1219.12
2025-04-21,1207.07,1207.07,819133019.0,17396.1,61679731.0,1242.17,1220.38,1222.77,1201.63
2025-04-22,1197.13,1197.13,1615665359.0,31777.4,86238226.0,2335.09,1201.38,1203.82,1136.98
2025-04-23,1211.0,1211.0,786534109.0,17150.62,68444106.0,1840.98,1215.65,1216.28,1202.27
2025-04-24,1223.35,1223.35,741455786.0,16285.71,34460814.0,733.71,1214.78,1224.66,1210.37
2025-04-25,1229.23,1229.23,787289901.0,18375.97,67719303.0,1711.56,1227.16,1230.72,1220.67
2025-04-28,1226.8,1226.8,576313016.0,12281.0,100604816.0,1792.69,1234.3,1234.3,1222.56
2025-04-29,1226.3,1226.3,561661016.0,12139.45,110038830.0,3306.34,1227.25,1229.1,1222.3
